Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2014","2014","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2015","2015","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2016","2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2017","2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2018","2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2019","2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2020","2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2021","2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400TSUB","Prevalencia de la inseguridad alimentaria grave en la población periurbana adulta (porcentaje) (valor anual)","2022","2022","%","11.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2014","2014","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2015","2015","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2016","2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2017","2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2018","2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2019","2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2020","2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2021","2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400R","Prevalencia de la inseguridad alimentaria grave en la población rural adulta (porcentaje) (valor anual)","2022","2022","%","12.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401","Prevalencia de la inseguridad alimentaria grave en la población total (%) (promedio de 3 años)","20142016","2014-2016","%","7.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401","Prevalencia de la inseguridad alimentaria grave en la población total (%) (promedio de 3 años)","20152017","2015-2017","%","7.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401","Prevalencia de la inseguridad alimentaria grave en la población total (%) (promedio de 3 años)","20162018","2016-2018","%","8.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401","Prevalencia de la inseguridad alimentaria grave en la población total (%) (promedio de 3 años)","20172019","2017-2019","%","8.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401","Prevalencia de la inseguridad alimentaria grave en la población total (%) (promedio de 3 años)","20182020","2018-2020","%","9.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401","Prevalencia de la inseguridad alimentaria grave en la población total (%) (promedio de 3 años)","20192021","2019-2021","%","10.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401","Prevalencia de la inseguridad alimentaria grave en la población total (%) (promedio de 3 años)","20202022","2020-2022","%","11.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2014","2014","%","7.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2015","2015","%","7.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2016","2016","%","7.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2017","2017","%","8.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2018","2018","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2019","2019","%","9.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2020","2020","%","10.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2021","2021","%","11.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400","Prevalencia de la inseguridad alimentaria grave en la población total (%) (valor anual)","2022","2022","%","11.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2014","2014","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2015","2015","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2016","2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2017","2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2018","2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2019","2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2020","2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2021","2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400U","Prevalencia de la inseguridad alimentaria grave en la población urbana adulta (porcentaje) (valor anual)","2022","2022","%","9.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (promedio de 3 años)","20142016","2014-2016","%","6.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (promedio de 3 años)","20152017","2015-2017","%","6.7","E","Valor estimado",""
