SpatialDim_es,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Anguila,51.712,48.994,47.694,48.986,49.623,49.505,55.334,41.201,38.659,39.062,39.904,45.552,46.792,45.883,45.578,45.081,44.1,43.781,43.034,34.34,33.937,32.985,32.307,31.441,31.011,30.736,30.223,29.825,29.151,28.821
Antigua y Barbuda,69.521,70.121,64.099,58.318,57.002,63.429,61.027,56.92,53.757,51.554,49.532,48.18,48.723,54.779,51.622,42.477,40.163,36.808,33.761,33.422,34.834,30.373,30.352,27.548,30.83,32.959,33.11,32.262,31.207,30.175
Argentina,72.81,71.39,70.424,69.307,68.268,66.54,64.0,63.078,60.281,62.62,64.877,64.07,66.424,66.149,66.695,67.064,68.264,68.719,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,37.932,36.829,35.853
Aruba,45.626,43.259,43.078,37.955,39.798,44.859,40.543,36.813,35.882,35.0,38.691,41.694,41.108,39.81,39.777,39.323,38.895,37.903,37.026,35.15,28.989,27.419,24.888,20.086,18.906,16.522,14.154,13.697,13.262,12.754
Bahamas,67.363,63.053,60.951,55.841,49.427,47.804,47.952,46.222,44.582,43.987,44.139,37.177,39.172,40.785,38.38,35.993,33.855,34.694,28.784,33.017,30.622,28.642,26.67,26.371,26.022,25.84,25.686,25.079,24.525,24.3
Barbados,55.938,56.26,55.827,55.928,52.703,53.139,54.927,53.007,51.115,49.185,47.61,46.114,46.1,45.655,45.758,45.138,44.533,43.017,42.192,41.888,41.555,41.218,41.438,42.154,42.163,42.421,42.297,41.864,40.723,39.714
Belice,111.14,104.564,102.718,101.626,101.826,99.894,99.264,96.295,90.829,89.73,90.57,83.613,79.723,77.025,74.454,71.989,74.011,73.396,72.832,70.722,69.786,70.523,69.627,72.062,64.404,56.671,57.127,56.569,56.412,55.999
Bermuda,41.59,41.869,41.477,39.84,36.262,33.19,35.697,33.443,32.923,28.815,24.313,21.495,21.416,18.897,18.408,17.152,13.426,12.232,11.711,9.329,8.902,8.486,7.99,7.279,7.417,7.641,7.542,7.429,7.369,7.404
Bolivia (Estado Plurinacional de),88.334,89.919,90.963,91.297,92.943,90.335,87.173,84.271,82.575,81.857,81.135,80.342,79.335,77.608,76.246,76.308,75.015,73.741,72.664,71.441,70.233,68.823,68.203,66.461,65.629,64.383,63.792,63.073,62.349,62.055
Brasil,86.592,86.76,87.621,88.216,87.211,86.362,85.862,81.978,78.704,78.351,77.864,75.657,73.105,69.789,67.881,66.179,65.23,63.675,62.936,63.12,62.434,57.88,55.566,53.436,50.015,46.296,45.2,43.582,42.369,41.203
Canadá,24.651,22.72,20.555,20.158,19.119,17.452,16.495,15.407,14.856,13.945,13.475,13.66,14.163,14.606,14.636,13.964,13.02,12.556,11.665,10.859,9.685,8.607,8.054,7.094,6.888,6.985,6.978,6.618,6.313,6.058
Chile,70.773,70.067,68.82,67.308,63.882,61.305,59.139,56.22,51.278,49.294,50.171,52.213,53.95,55.42,54.403,53.205,52.145,50.989,48.368,44.832,40.067,34.096,27.979,24.292,24.127,24.08,24.082,22.793,21.302,20.096
Colombia,92.325,93.528,92.106,92.16,94.957,94.675,93.506,91.952,89.734,87.94,85.791,84.132,82.937,81.029,79.433,77.996,77.638,77.554,75.843,72.843,69.796,68.128,66.226,63.885,61.82,59.708,59.034,57.612,56.805,55.821
Costa Rica,87.957,86.713,86.829,84.553,84.734,82.104,76.014,71.194,69.445,68.081,66.38,66.242,67.813,69.868,67.674,65.123,64.909,65.567,62.31,58.971,55.253,53.031,53.783,51.147,44.882,38.024,37.148,35.749,34.591,33.467
Cuba,59.506,53.524,54.788,50.969,50.492,47.865,46.732,47.209,45.658,44.258,42.542,40.429,44.143,51.481,55.673,55.976,57.664,52.634,51.297,49.249,50.275,49.205,51.207,53.938,52.618,51.493,48.82,48.914,48.116,46.475
Curaçao,60.485,59.556,56.851,51.021,46.221,44.192,43.617,42.241,43.662,42.36,43.853,43.251,41.883,42.25,39.445,37.411,36.437,41.026,39.573,35.714,31.645,24.765,20.774,22.165,23.148,22.897,23.142,22.722,22.264,21.759
Dominica,62.072,59.427,61.651,59.445,64.542,59.459,62.726,56.67,54.04,53.232,51.08,51.981,50.561,48.688,46.926,45.981,45.573,44.585,43.492,42.372,41.114,39.635,39.105,39.348,39.325,39.022,38.49,37.933,37.554,37.312
Ecuador,88.927,90.547,89.727,91.693,91.5,88.773,88.083,88.435,88.523,87.349,86.874,87.164,89.208,90.694,92.019,91.858,91.278,90.001,84.146,80.124,79.692,75.1,72.683,71.383,67.77,63.944,63.163,62.065,61.363,60.261
El Salvador,124.243,123.415,119.688,118.018,113.604,107.896,100.786,92.917,86.67,82.695,80.265,77.46,76.217,73.788,72.071,70.912,70.951,70.643,70.62,70.115,70.359,65.213,61.531,58.197,57.808,56.83,55.89,54.546,53.511,52.779
Estados Unidos de América,54.134,51.6,50.195,49.367,48.021,46.734,44.099,41.761,40.338,39.658,38.963,39.756,40.38,39.629,37.647,34.436,31.381,29.137,26.447,24.036,21.899,19.867,18.423,17.06,16.414,15.83,15.966,15.119,14.402,13.798
Granada,71.044,67.291,63.858,50.743,46.118,45.566,44.442,43.44,42.914,41.809,41.411,41.315,41.016,40.566,40.12,39.433,38.699,37.726,36.587,35.112,34.957,34.597,34.69,34.553,34.096,33.472,32.72,32.141,31.549,31.178
Guadalupe,29.384,28.407,27.54,26.707,26.233,25.11,24.592,23.069,22.072,19.726,19.473,19.082,18.306,17.202,16.56,16.142,16.654,16.529,16.775,15.651,14.708,13.183,11.307,9.997,9.618,9.553,9.513,9.412,9.385,9.425
Guatemala,111.94,111.562,110.39,112.566,107.407,109.177,110.434,106.66,99.616,96.107,93.434,90.832,91.574,90.46,89.986,89.008,90.535,90.895,83.341,81.595,80.387,77.794,78.608,76.279,71.729,66.848,64.054,63.163,62.368,61.78
Guayana Francesa,95.969,95.825,99.943,105.468,112.331,112.688,108.833,103.821,96.306,87.916,81.479,82.091,81.79,80.259,79.768,78.484,74.401,69.524,66.081,62.762,62.893,61.86,61.704,58.065,58.67,58.605,58.287,56.141,53.924,51.955
Guyana,109.662,107.87,106.798,107.852,105.22,102.276,98.17,96.687,95.236,91.83,91.116,89.608,87.54,84.919,82.172,80.478,78.026,75.301,74.269,73.888,73.404,71.979,70.484,69.664,68.995,67.801,66.556,64.636,63.071,61.523
Haití,74.355,75.421,76.016,76.333,76.999,76.165,72.865,70.754,68.179,66.984,66.881,67.325,65.525,64.373,63.865,62.688,60.962,61.256,59.297,57.571,56.276,55.897,55.628,54.556,54.241,53.643,52.545,51.837,51.19,50.519
Honduras,127.981,128.792,128.075,128.282,125.774,123.567,120.47,116.121,111.749,108.406,104.158,101.141,97.358,94.706,91.994,89.482,86.963,84.451,81.681,79.562,77.993,76.868,75.341,74.666,73.802,72.874,71.972,71.333,70.331,69.554
Islas Caimán,51.915,60.119,56.608,50.761,54.437,53.707,52.077,45.227,42.224,44.503,45.95,41.453,38.426,35.493,29.878,27.899,24.053,21.621,17.996,17.117,13.044,12.632,10.876,11.153,11.666,15.831,11.74,10.893,9.992,9.155
Islas Turcas y Caicos,41.736,37.142,34.285,32.168,31.035,30.911,31.686,30.938,30.124,29.075,27.823,26.1,24.905,23.676,21.774,20.498,20.132,20.359,20.328,19.67,19.653,19.518,18.759,17.856,17.137,17.15,17.148,16.551,15.933,15.465
Islas Vírgenes (EE. UU.),73.498,69.303,77.372,70.841,63.229,57.292,58.244,55.551,52.273,53.959,51.366,53.737,54.249,56.027,54.41,52.05,50.612,44.97,42.395,39.631,36.997,33.655,33.116,32.406,31.85,31.396,31.244,29.905,28.777,27.79
Islas Vírgenes Británicas,43.529,45.218,51.519,34.915,43.64,45.401,33.944,26.637,28.268,33.766,28.028,24.168,25.507,24.046,21.697,20.043,21.262,17.238,16.32,18.942,17.99,14.015,11.682,12.915,13.661,14.116,14.482,14.098,13.676,13.433
Jamaica,97.751,92.383,91.028,88.956,83.9,74.835,73.052,70.518,69.101,68.767,66.019,65.782,59.595,58.165,56.882,52.838,52.6,52.798,50.954,46.678,45.715,41.868,38.554,35.232,33.952,33.313,32.764,32.021,31.596,31.079
Martinica,27.408,27.507,27.748,27.933,29.12,30.139,30.363,28.701,25.87,21.8,19.649,19.342,19.361,19.774,19.913,19.638,19.652,20.12,18.495,16.377,13.652,13.243,13.017,11.894,11.43,11.6,11.545,11.105,10.699,10.288
Montserrat,49.573,39.367,32.038,20.178,22.886,27.531,42.671,36.231,32.546,35.656,37.977,40.32,42.14,43.197,42.151,40.579,42.324,47.373,47.983,49.326,47.411,48.508,49.847,51.509,51.723,51.029,50.332,50.18,50.575,51.266
